Accession,Organism_Name,Species,MPXV_Lineage,Clade,Isolate,Geo_Location,Host,Date,Release_Date,Latitude,Longitude
OZ409359.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0958_2026,Portugal,Homo sapiens,2026-01-12,2/9/2026,39.6621648,-8.1353519
OZ409360.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0952_2026,Portugal,Homo sapiens,2025-12-30,2/9/2026,39.6621648,-8.1353519
OZ409361.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0955_2026,Portugal,Homo sapiens,2026-01-06,2/9/2026,39.6621648,-8.1353519
OZ409362.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0962_2026,Portugal,Homo sapiens,2026-01-15,2/9/2026,39.6621648,-8.1353519
OZ409363.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0954_2026,Portugal,Homo sapiens,2026-01-06,2/9/2026,39.6621648,-8.1353519
OZ409364.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0957_2026,Portugal,Homo sapiens,2025-11-28,2/9/2026,39.6621648,-8.1353519
OZ409365.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0961_2026,Portugal,Homo sapiens,2026-01-14,2/9/2026,39.6621648,-8.1353519
OZ409563.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0940_2025,Portugal,Homo sapiens,2025-12-16,2/9/2026,39.6621648,-8.1353519
OZ409564.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0934_2025,Portugal,Homo sapiens,2025-12-10,2/9/2026,39.6621648,-8.1353519
PX953068.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0364/2025,"USA: IL, Chicago",Homo sapiens,2025-12-10,2/8/2026,41.8755616,-87.6244212
PX953069.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0365/2025,"USA: IL, Chicago",Homo sapiens,2025-12-04,2/8/2026,41.8755616,-87.6244212
PX953070.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0366/2025,"USA: IL, Chicago",Homo sapiens,2025-12-03,2/8/2026,41.8755616,-87.6244212
OZ408697.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0944_2025,Portugal,Homo sapiens,2025-12-18,2/5/2026,39.6621648,-8.1353519
OZ408698.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0943_2025,Portugal,Homo sapiens,2025-12-17,2/5/2026,39.6621648,-8.1353519
OZ408699.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0930_2025,Portugal,Homo sapiens,2025-12-09,2/5/2026,39.6621648,-8.1353519
OZ408700.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0919_2025,Portugal,Homo sapiens,2025-11-13,2/5/2026,39.6621648,-8.1353519
OZ408701.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0920_2025,Portugal,Homo sapiens,2025-11-14,2/5/2026,39.6621648,-8.1353519
OZ408702.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0922_2025,Portugal,Homo sapiens,2025-11-20,2/5/2026,39.6621648,-8.1353519
OZ408703.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0933_2025,Portugal,Homo sapiens,2025-12-10,2/5/2026,39.6621648,-8.1353519
OZ408704.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0941_2025,Portugal,Homo sapiens,2025-12-17,2/5/2026,39.6621648,-8.1353519
OZ408705.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0925_2025,Portugal,Homo sapiens,2025-11-28,2/5/2026,39.6621648,-8.1353519
OZ408706.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0942_2025,Portugal,Homo sapiens,2025-12-17,2/5/2026,39.6621648,-8.1353519
OZ408707.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0946_2025,Portugal,Homo sapiens,2025-12-22,2/5/2026,39.6621648,-8.1353519
OZ408708.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0923_2025,Portugal,Homo sapiens,2025-12-02,2/5/2026,39.6621648,-8.1353519
OZ408709.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0921_2025,Portugal,Homo sapiens,2025-11-19,2/5/2026,39.6621648,-8.1353519
OZ408710.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0927_2025,Portugal,Homo sapiens,2025-12-02,2/5/2026,39.6621648,-8.1353519
OZ408711.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0931_2025,Portugal,Homo sapiens,2025-12-10,2/5/2026,39.6621648,-8.1353519
OZ408712.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0947_2025,Portugal,Homo sapiens,2025-12-23,2/5/2026,39.6621648,-8.1353519
OZ408713.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0936_2025,Portugal,Homo sapiens,2025-12-16,2/5/2026,39.6621648,-8.1353519
OZ408714.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0935_2025,Portugal,Homo sapiens,2025-12-12,2/5/2026,39.6621648,-8.1353519
OZ408736.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0924_2025,Portugal,Homo sapiens,2025-12-02,2/5/2026,39.6621648,-8.1353519
OZ408737.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0939_2025,Portugal,Homo sapiens,2025-12-16,2/5/2026,39.6621648,-8.1353519
OZ408738.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0932_2025,Portugal,Homo sapiens,2025-12-09,2/5/2026,39.6621648,-8.1353519
PX842231.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0361/2025,"USA: IL, Chicago",Homo sapiens,2025-11-18,1/14/2026,41.8755616,-87.6244212
PX842232.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0362/2025,"USA: IL, Chicago",Homo sapiens,2025-11-20,1/14/2026,41.8755616,-87.6244212
PX842233.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0363/2025,"USA: IL, Chicago",Homo sapiens,2025-12-02,1/14/2026,41.8755616,-87.6244212
PX767474.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00838/2025,USA: California,Homo sapiens,2025-11-20,1/10/2026,36.7014631,-118.755997
PX767475.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00840/2025,USA: California,Homo sapiens,2025-11-19,1/10/2026,36.7014631,-118.755997
PX767476.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00835/2025,USA: California,Homo sapiens,2025-11-28,1/10/2026,36.7014631,-118.755997
PX767477.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00837/2025,USA: California,Homo sapiens,2025-11-26,1/10/2026,36.7014631,-118.755997
PX767478.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00841/2025,USA: California,Homo sapiens,2025-11-06,1/10/2026,36.7014631,-118.755997
PX767479.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00839/2025,USA: California,Homo sapiens,2025-11-24,1/10/2026,36.7014631,-118.755997
PX767480.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00836/2025,USA: California,Homo sapiens,2025-11-25,1/10/2026,36.7014631,-118.755997
OZ389434.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0891_2025,Portugal,Homo sapiens,2025-10-29,1/7/2026,39.6621648,-8.1353519
OZ389435.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0913_2025,Portugal,Homo sapiens,2025-08-31,1/7/2026,39.6621648,-8.1353519
OZ389436.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0897_2025,Portugal,Homo sapiens,2025-10-28,1/7/2026,39.6621648,-8.1353519
OZ389437.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0910_2025,Portugal,Homo sapiens,2025-10-01,1/7/2026,39.6621648,-8.1353519
OZ389438.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0901_2025,Portugal,Homo sapiens,2025-10-21,1/7/2026,39.6621648,-8.1353519
OZ389439.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0904_2025,Portugal,Homo sapiens,2025-10-15,1/7/2026,39.6621648,-8.1353519
OZ389440.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0898_2025,Portugal,Homo sapiens,2025-10-25,1/7/2026,39.6621648,-8.1353519
OZ389441.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0911_2025,Portugal,Homo sapiens,2025-08-21,1/7/2026,39.6621648,-8.1353519
OZ389442.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0906_2025,Portugal,Homo sapiens,2025-10-10,1/7/2026,39.6621648,-8.1353519
OZ389443.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0885_2025,Portugal,Homo sapiens,2025-11-07,1/7/2026,39.6621648,-8.1353519
OZ389444.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0895_2025,Portugal,Homo sapiens,2025-10-28,1/7/2026,39.6621648,-8.1353519
OZ389445.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0890_2025,Portugal,Homo sapiens,2025-10-30,1/7/2026,39.6621648,-8.1353519
OZ389446.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0912_2025,Portugal,Homo sapiens,2025-08-22,1/7/2026,39.6621648,-8.1353519
OZ389447.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0916_2025,Portugal,Homo sapiens,2025-07-24,1/7/2026,39.6621648,-8.1353519
OZ389448.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0908_2025,Portugal,Homo sapiens,2025-09-29,1/7/2026,39.6621648,-8.1353519
OZ389449.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0905_2025,Portugal,Homo sapiens,2025-10-14,1/7/2026,39.6621648,-8.1353519
OZ389450.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0887_2025,Portugal,Homo sapiens,2025-11-11,1/7/2026,39.6621648,-8.1353519
OZ389451.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0889_2025,Portugal,Homo sapiens,2025-10-23,1/7/2026,39.6621648,-8.1353519
OZ389452.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0888_2025,Portugal,Homo sapiens,2025-11-04,1/7/2026,39.6621648,-8.1353519
OZ389453.15,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0883_2025,Portugal,Homo sapiens,2025-11-06,1/7/2026,39.6621648,-8.1353519
OZ389454.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0907_2025,Portugal,Homo sapiens,2025-10-08,1/7/2026,39.6621648,-8.1353519
OZ389455.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0886_2025,Portugal,Homo sapiens,2025-11-10,1/7/2026,39.6621648,-8.1353519
OZ389456.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0903_2025,Portugal,Homo sapiens,2025-10-22,1/7/2026,39.6621648,-8.1353519
OZ389457.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0892_2025,Portugal,Homo sapiens,2025-11-01,1/7/2026,39.6621648,-8.1353519
PX739433.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00831/2025,USA: California,Homo sapiens,2025-11-22,12/27/2025,36.7014631,-118.755997
PX739434.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00823/2025,USA: California,Homo sapiens,2025-11-11,12/27/2025,36.7014631,-118.755997
PX739435.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00822/2025,USA: California,Homo sapiens,2025-11-28,12/27/2025,36.7014631,-118.755997
PX739436.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00828/2025,USA: California,Homo sapiens,2025-11-05,12/27/2025,36.7014631,-118.755997
PX739437.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00834/2025,USA: California,Homo sapiens,2025-11-22,12/27/2025,36.7014631,-118.755997
PX739438.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00825/2025,USA: California,Homo sapiens,2025-11-25,12/27/2025,36.7014631,-118.755997
PX739439.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00832/2025,USA: California,Homo sapiens,2025-11-04,12/27/2025,36.7014631,-118.755997
PX739440.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00816/2025,USA: California,Homo sapiens,2025-11-12,12/27/2025,36.7014631,-118.755997
PX739441.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00817/2025,USA: California,Homo sapiens,2025-11-21,12/27/2025,36.7014631,-118.755997
PX739442.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00818/2025,USA: California,Homo sapiens,2025-11-22,12/27/2025,36.7014631,-118.755997
PX739443.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00819/2025,USA: California,Homo sapiens,2025-11-28,12/27/2025,36.7014631,-118.755997
PX739444.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00827/2025,USA: California,Homo sapiens,2025-11-20,12/27/2025,36.7014631,-118.755997
PX739445.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00830/2025,USA: California,Homo sapiens,2025-11-18,12/27/2025,36.7014631,-118.755997
PX739446.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00815/2025,USA: California,Homo sapiens,2025-11-05,12/27/2025,36.7014631,-118.755997
PX739447.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00820/2025,USA: California,Homo sapiens,2025-11-24,12/27/2025,36.7014631,-118.755997
PX739448.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00824/2025,USA: California,Homo sapiens,2025-11-21,12/27/2025,36.7014631,-118.755997
PX739449.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00821/2025,USA: California,Homo sapiens,2025-11-14,12/27/2025,36.7014631,-118.755997
PX739450.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00833/2025,USA: California,Homo sapiens,2025-11-21,12/27/2025,36.7014631,-118.755997
PX739451.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00829/2025,USA: California,Homo sapiens,2025-11-24,12/27/2025,36.7014631,-118.755997
PX739452.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00826/2025,USA: California,Homo sapiens,2025-11-24,12/27/2025,36.7014631,-118.755997
PX739453.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00814/2025,USA: California,Homo sapiens,2025-11-17,12/27/2025,36.7014631,-118.755997
PX694752.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0360/2025,"USA: IL, Chicago",Homo sapiens,2025-11-10,12/23/2025,41.8755616,-87.6244212
PX715195.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00812/2025,USA: California,Homo sapiens,2025-11-14,12/23/2025,36.7014631,-118.755997
PX715196.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00808/2025,USA: California,Homo sapiens,2025-11-16,12/23/2025,36.7014631,-118.755997
PX715197.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00805/2025,USA: California,Homo sapiens,2025-11-04,12/23/2025,36.7014631,-118.755997
PX715198.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00807/2025,USA: California,Homo sapiens,2025-11-01,12/23/2025,36.7014631,-118.755997
PX715199.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00803/2025,USA: California,Homo sapiens,2025-10-24,12/23/2025,36.7014631,-118.755997
PX715200.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00809/2025,USA: California,Homo sapiens,2025-11-13,12/23/2025,36.7014631,-118.755997
PX715201.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00797/2025,USA: California,Homo sapiens,2025-11-11,12/23/2025,36.7014631,-118.755997
PX715202.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00802/2025,USA: California,Homo sapiens,2025-11-14,12/23/2025,36.7014631,-118.755997
PX715203.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00801/2025,USA: California,Homo sapiens,2025-11-18,12/23/2025,36.7014631,-118.755997
PX715204.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00804/2025,USA: California,Homo sapiens,2025-11-06,12/23/2025,36.7014631,-118.755997
PX715205.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00800/2025,USA: California,Homo sapiens,2025-11-01,12/23/2025,36.7014631,-118.755997
PX715206.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00796/2025,USA: California,Homo sapiens,2025-11-04,12/23/2025,36.7014631,-118.755997
PX715207.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00795/2025,USA: California,Homo sapiens,2025-11-03,12/23/2025,36.7014631,-118.755997
PX715208.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00799/2025,USA: California,Homo sapiens,2025-10-07,12/23/2025,36.7014631,-118.755997
PX715209.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00813/2025,USA: California,Homo sapiens,2025-11-14,12/23/2025,36.7014631,-118.755997
PX715210.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00810/2025,USA: California,Homo sapiens,2025-11-06,12/23/2025,36.7014631,-118.755997
PX715211.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00811/2025,USA: California,Homo sapiens,2025-11-08,12/23/2025,36.7014631,-118.755997
PX715212.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00798/2025,USA: California,Homo sapiens,2025-11-07,12/23/2025,36.7014631,-118.755997
PX715213.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00806/2025,USA: California,Homo sapiens,2025-11-10,12/23/2025,36.7014631,-118.755997
PX632589.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00762/2025,USA: California,Homo sapiens,2025-09-30,12/9/2025,36.7014631,-118.755997
PX632590.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00760/2025,USA: California,Homo sapiens,2025-08-05,12/9/2025,36.7014631,-118.755997
PX632591.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00772/2025,USA: California,Homo sapiens,2025-08-14,12/9/2025,36.7014631,-118.755997
PX632592.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00766/2025,USA: California,Homo sapiens,2025-08-19,12/9/2025,36.7014631,-118.755997
PX632593.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00764/2025,USA: California,Homo sapiens,2025-10-06,12/9/2025,36.7014631,-118.755997
PX632594.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00761/2025,USA: California,Homo sapiens,2025-09-05,12/9/2025,36.7014631,-118.755997
PX632595.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00771/2025,USA: California,Homo sapiens,2025-09-13,12/9/2025,36.7014631,-118.755997
PX632596.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00773/2025,USA: California,Homo sapiens,2025-08-12,12/9/2025,36.7014631,-118.755997
PX632597.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00767/2025,USA: California,Homo sapiens,2025-09-19,12/9/2025,36.7014631,-118.755997
PX632598.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00765/2025,USA: California,Homo sapiens,2025-09-12,12/9/2025,36.7014631,-118.755997
PX632599.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00763/2025,USA: California,Homo sapiens,2025-10-04,12/9/2025,36.7014631,-118.755997
PX632600.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00770/2025,USA: California,Homo sapiens,2025-08-16,12/9/2025,36.7014631,-118.755997
PX632601.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00768/2025,USA: California,Homo sapiens,2025-10-17,12/9/2025,36.7014631,-118.755997
PX632602.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00775/2025,USA: California,Homo sapiens,2025-08-13,12/9/2025,36.7014631,-118.755997
PX632603.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00769/2025,USA: California,Homo sapiens,2025-10-10,12/9/2025,36.7014631,-118.755997
