Accession,Organism_Name,Species,MPXV_Lineage,Clade,Isolate,Geo_Location,Host,Collection_Date,Release_Date
OZ409564.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0934_2025,Portugal,Homo sapiens,12/10/2025,2/9/2026
PX953068.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0364/2025,"USA: IL, Chicago",Homo sapiens,12/10/2025,2/8/2026
PX953069.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0365/2025,"USA: IL, Chicago",Homo sapiens,12/4/2025,2/8/2026
PX953070.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,hMpxV/USA/IL-RIPHL-050-0366/2025,"USA: IL, Chicago",Homo sapiens,12/3/2025,2/8/2026
OZ408697.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0944_2025,Portugal,Homo sapiens,12/18/2025,2/5/2026
OZ408698.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0943_2025,Portugal,Homo sapiens,12/17/2025,2/5/2026
OZ408699.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0930_2025,Portugal,Homo sapiens,12/9/2025,2/5/2026
OZ408700.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0919_2025,Portugal,Homo sapiens,11/13/2025,2/5/2026
OZ408701.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0920_2025,Portugal,Homo sapiens,11/14/2025,2/5/2026
OZ408702.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0922_2025,Portugal,Homo sapiens,11/20/2025,2/5/2026
OZ408703.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0933_2025,Portugal,Homo sapiens,12/10/2025,2/5/2026
OZ408704.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0941_2025,Portugal,Homo sapiens,12/17/2025,2/5/2026
OZ408705.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0925_2025,Portugal,Homo sapiens,11/28/2025,2/5/2026
OZ408706.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0942_2025,Portugal,Homo sapiens,12/17/2025,2/5/2026
OZ408707.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0946_2025,Portugal,Homo sapiens,12/22/2025,2/5/2026
OZ408708.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0923_2025,Portugal,Homo sapiens,12/2/2025,2/5/2026
OZ408709.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0921_2025,Portugal,Homo sapiens,11/19/2025,2/5/2026
OZ408710.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0927_2025,Portugal,Homo sapiens,12/2/2025,2/5/2026
OZ408711.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0931_2025,Portugal,Homo sapiens,12/10/2025,2/5/2026
OZ408712.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0947_2025,Portugal,Homo sapiens,12/23/2025,2/5/2026
OZ408713.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0936_2025,Portugal,Homo sapiens,12/16/2025,2/5/2026
OZ408714.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0935_2025,Portugal,Homo sapiens,12/12/2025,2/5/2026
OZ408736.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0924_2025,Portugal,Homo sapiens,12/2/2025,2/5/2026
OZ408737.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0939_2025,Portugal,Homo sapiens,12/16/2025,2/5/2026
OZ408738.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0932_2025,Portugal,Homo sapiens,12/9/2025,2/5/2026
PX925915.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,MPXV_USA_2026_CA0105,USA: CA,Homo sapiens,1/1/2026,2/3/2026
PX852146.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0059,USA: TX,Homo sapiens,2022-06,1/18/2026
PX852147.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV_USA_2022_TX0067,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852148.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0069,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852149.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0070,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852150.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV_USA_2022_TX0072,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852151.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV_USA_2022_TX0071,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852152.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0073,USA: TX,Homo sapiens,2022-09,1/18/2026
PX852153.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0074,USA: TX,Homo sapiens,2022-09,1/18/2026
PX852154.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0033,USA: TX,Homo sapiens,2022-09,1/18/2026
PX852155.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0035,USA: TX,Homo sapiens,2022-09,1/18/2026
PX852156.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0077,USA: TX,Homo sapiens,2022-09,1/18/2026
PX852157.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0060,USA: TX,Homo sapiens,2022-06,1/18/2026
PX852158.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV_USA_2022_TX0076,USA: TX,Homo sapiens,2022-09,1/18/2026
PX852159.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.2,IIb,MPXV_USA_2022_TX0013,USA: TX,Homo sapiens,2022-10,1/18/2026
PX852160.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0079,USA: TX,Homo sapiens,2022-11,1/18/2026
PX852161.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0081,USA: TX,Homo sapiens,2022-11,1/18/2026
PX852162.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0083,USA: TX,Homo sapiens,2022-11,1/18/2026
PX852163.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0085,USA: TX,Homo sapiens,2022-12,1/18/2026
PX852164.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0300,USA: TX,Homo sapiens,2022-08,1/18/2026
PX852165.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0301a,USA: TX,Homo sapiens,2022-11,1/18/2026
PX852166.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0301b,USA: TX,Homo sapiens,2022-11,1/18/2026
PX852167.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.20,IIb,MPXV_USA_2022_TX0084,USA: TX,Homo sapiens,2022-12,1/18/2026
PX852168.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0061,USA: TX,Homo sapiens,2022-06,1/18/2026
PX852169.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.2,IIb,MPXV_USA_2024_MD0021,USA: MD,Homo sapiens,2024-12,1/18/2026
PX852170.1,Monkeypox virus,Orthopoxvirus monkeypox,G.1,IIb,MPXV_USA_2025_TN0030,USA: TN,Homo sapiens,2025-05,1/18/2026
PX852171.1,Monkeypox virus,Orthopoxvirus monkeypox,G.1,IIb,MPXV_USA_2025_MN0021,USA: MN,Homo sapiens,2025-06,1/18/2026
PX852172.1,Monkeypox virus,Orthopoxvirus monkeypox,G.1,IIb,MPXV_USA_2025_TX0281,USA: TX,Homo sapiens,2025-06,1/18/2026
PX852173.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.2,IIb,MPXV_USA_2025_VA0022,USA: VA,Homo sapiens,2025-03,1/18/2026
PX852174.1,Monkeypox virus,Orthopoxvirus monkeypox,G.1,IIb,MPXV_USA_2025_PA0021,USA: PA,Homo sapiens,2025-06,1/18/2026
PX852175.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV_USA_2022_TX0064,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852176.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV_USA_2022_TX0063,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852177.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0280,USA: TX,Homo sapiens,2022-06,1/18/2026
PX852178.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.7,IIb,MPXV_USA_2022_TX0065,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852179.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1,IIb,MPXV_USA_2022_TX0066,USA: TX,Homo sapiens,2022-07,1/18/2026
PX852180.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.8,IIb,MPXV_USA_2022_TX0278,USA: TX,Homo sapiens,2022-07,1/18/2026
PX842231.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0361/2025,"USA: IL, Chicago",Homo sapiens,11/18/2025,1/14/2026
PX842232.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0362/2025,"USA: IL, Chicago",Homo sapiens,11/20/2025,1/14/2026
PX842233.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0363/2025,"USA: IL, Chicago",Homo sapiens,12/2/2025,1/14/2026
PX767474.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00838/2025,USA: California,Homo sapiens,11/20/2025,1/10/2026
PX767475.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00840/2025,USA: California,Homo sapiens,11/19/2025,1/10/2026
PX767476.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00835/2025,USA: California,Homo sapiens,11/28/2025,1/10/2026
PX767477.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00837/2025,USA: California,Homo sapiens,11/26/2025,1/10/2026
PX767478.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00841/2025,USA: California,Homo sapiens,11/6/2025,1/10/2026
PX767479.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00839/2025,USA: California,Homo sapiens,11/24/2025,1/10/2026
PX767480.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00836/2025,USA: California,Homo sapiens,11/25/2025,1/10/2026
OZ389615.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.1,IIb,MCL_22_H_MPXV_16_5317_1_DNA_740,India:Kerala,,7/13/2022,1/8/2026
OZ389617.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,MCL_24_H_MPXV_176_4240_DNA_1073,India:Kerala,,9/21/2024,1/8/2026
OZ389434.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0891_2025,Portugal,Homo sapiens,10/29/2025,1/7/2026
OZ389435.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0913_2025,Portugal,Homo sapiens,8/31/2025,1/7/2026
OZ389436.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0897_2025,Portugal,Homo sapiens,10/28/2025,1/7/2026
OZ389437.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0910_2025,Portugal,Homo sapiens,10/1/2025,1/7/2026
OZ389438.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0901_2025,Portugal,Homo sapiens,10/21/2025,1/7/2026
OZ389439.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0904_2025,Portugal,Homo sapiens,10/15/2025,1/7/2026
OZ389440.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0898_2025,Portugal,Homo sapiens,10/25/2025,1/7/2026
OZ389441.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0911_2025,Portugal,Homo sapiens,8/21/2025,1/7/2026
OZ389442.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0906_2025,Portugal,Homo sapiens,10/10/2025,1/7/2026
OZ389443.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0885_2025,Portugal,Homo sapiens,11/7/2025,1/7/2026
OZ389444.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0895_2025,Portugal,Homo sapiens,10/28/2025,1/7/2026
OZ389445.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0890_2025,Portugal,Homo sapiens,10/30/2025,1/7/2026
OZ389446.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0912_2025,Portugal,Homo sapiens,8/22/2025,1/7/2026
OZ389447.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0916_2025,Portugal,Homo sapiens,7/24/2025,1/7/2026
OZ389448.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0908_2025,Portugal,Homo sapiens,9/29/2025,1/7/2026
OZ389449.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0905_2025,Portugal,Homo sapiens,10/14/2025,1/7/2026
OZ389450.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0887_2025,Portugal,Homo sapiens,11/11/2025,1/7/2026
OZ389451.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0889_2025,Portugal,Homo sapiens,10/23/2025,1/7/2026
OZ389452.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0888_2025,Portugal,Homo sapiens,11/4/2025,1/7/2026
OZ389453.15,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0883_2025,Portugal,Homo sapiens,11/6/2025,1/7/2026
OZ389454.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0907_2025,Portugal,Homo sapiens,10/8/2025,1/7/2026
OZ389455.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0886_2025,Portugal,Homo sapiens,11/10/2025,1/7/2026
OZ389456.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0903_2025,Portugal,Homo sapiens,10/22/2025,1/7/2026
OZ389457.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox_PT0892_2025,Portugal,Homo sapiens,11/1/2025,1/7/2026
PX739433.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00831/2025,USA: California,Homo sapiens,11/22/2025,12/27/2025
PX739434.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00823/2025,USA: California,Homo sapiens,11/11/2025,12/27/2025
PX739435.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00822/2025,USA: California,Homo sapiens,11/28/2025,12/27/2025
PX739436.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00828/2025,USA: California,Homo sapiens,11/5/2025,12/27/2025
PX739437.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00834/2025,USA: California,Homo sapiens,11/22/2025,12/27/2025
PX739438.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00825/2025,USA: California,Homo sapiens,11/25/2025,12/27/2025
PX739439.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00832/2025,USA: California,Homo sapiens,11/4/2025,12/27/2025
PX739440.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00816/2025,USA: California,Homo sapiens,11/12/2025,12/27/2025
PX739441.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00817/2025,USA: California,Homo sapiens,11/21/2025,12/27/2025
PX739442.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00818/2025,USA: California,Homo sapiens,11/22/2025,12/27/2025
PX739443.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00819/2025,USA: California,Homo sapiens,11/28/2025,12/27/2025
PX739444.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00827/2025,USA: California,Homo sapiens,11/20/2025,12/27/2025
PX739445.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00830/2025,USA: California,Homo sapiens,11/18/2025,12/27/2025
PX739446.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00815/2025,USA: California,Homo sapiens,11/5/2025,12/27/2025
PX739447.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00820/2025,USA: California,Homo sapiens,11/24/2025,12/27/2025
PX739448.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00824/2025,USA: California,Homo sapiens,11/21/2025,12/27/2025
PX739449.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00821/2025,USA: California,Homo sapiens,11/14/2025,12/27/2025
PX739450.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00833/2025,USA: California,Homo sapiens,11/21/2025,12/27/2025
PX739451.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00829/2025,USA: California,Homo sapiens,11/24/2025,12/27/2025
PX739452.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00826/2025,USA: California,Homo sapiens,11/24/2025,12/27/2025
PX739453.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00814/2025,USA: California,Homo sapiens,11/17/2025,12/27/2025
PX694752.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,hMpxV/USA/IL-RIPHL-050-0360/2025,"USA: IL, Chicago",Homo sapiens,11/10/2025,12/23/2025
PX715195.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00812/2025,USA: California,Homo sapiens,11/14/2025,12/23/2025
PX715196.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00808/2025,USA: California,Homo sapiens,11/16/2025,12/23/2025
PX715197.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00805/2025,USA: California,Homo sapiens,11/4/2025,12/23/2025
PX715198.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00807/2025,USA: California,Homo sapiens,11/1/2025,12/23/2025
PX715199.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00803/2025,USA: California,Homo sapiens,10/24/2025,12/23/2025
PX715200.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00809/2025,USA: California,Homo sapiens,11/13/2025,12/23/2025
PX715201.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00797/2025,USA: California,Homo sapiens,11/11/2025,12/23/2025
PX715202.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00802/2025,USA: California,Homo sapiens,11/14/2025,12/23/2025
PX715203.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00801/2025,USA: California,Homo sapiens,11/18/2025,12/23/2025
PX715204.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00804/2025,USA: California,Homo sapiens,11/6/2025,12/23/2025
PX715205.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00800/2025,USA: California,Homo sapiens,11/1/2025,12/23/2025
PX715206.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00796/2025,USA: California,Homo sapiens,11/4/2025,12/23/2025
PX715207.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00795/2025,USA: California,Homo sapiens,11/3/2025,12/23/2025
PX715208.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox virus/Human/USA/CA-LACPHL-MA00799/2025,USA: California,Homo sapiens,10/7/2025,12/23/2025
